,No.,Card name,Rarity
110,111/198,Medicham,Uncommon
111,112/198,Riolu,Common
112,113/198,Riolu,Common
113,114/198,Lucario,Uncommon
114,115/198,Sandile,Common
115,116/198,Krokorok,Common
116,117/198,Krookodile,Uncommon
117,118/198,Hawlucha,Rare
118,119/198,Silicobra,Common
119,120/198,Sandaconda,Uncommon
120,121/198,Stonjourner,Uncommon
121,122/198,Klawf,Rare
122,123/198,Great Tusk ex,Double Rare
123,124/198,Koraidon,Rare
124,125/198,Koraidon ex,Double Rare
125,126/198,Grimer,Common
126,127/198,Muk,Uncommon
127,128/198,Seviper,Common
128,129/198,Spiritomb,Uncommon
129,130/198,Croagunk,Common
130,131/198,Toxicroak ex,Double Rare
131,132/198,Pawniard,Common
132,133/198,Bisharp,Common
133,134/198,Kingambit,Rare
134,135/198,Maschiff,Common
135,136/198,Maschiff,Common
136,137/198,Mabosstiff,Uncommon
137,138/198,Bombirdier,Uncommon
138,139/198,Forretress,Uncommon
139,140/198,Varoom,Common
140,141/198,Varoom,Common
141,142/198,Revavroom,Rare
142,143/198,Iron Treads ex,Double Rare
143,144/198,Chansey,Common
144,145/198,Blissey,Uncommon
145,146/198,Zangoose,Common
146,147/198,Zangoose,Uncommon
147,148/198,Starly,Common
148,149/198,Staravia,Common
149,150/198,Staraptor,Uncommon
150,151/198,Skwovet,Common
151,152/198,Greedent,Uncommon
152,153/198,Indeedee,Rare
153,154/198,Lechonk,Common
154,155/198,Lechonk,Common
155,156/198,Lechonk,Common
156,157/198,Oinkologne,Uncommon
157,158/198,Oinkologne ex,Double Rare
158,159/198,Tandemaus,Common
159,160/198,Tandemaus,Common
160,161/198,Maushold,Uncommon
161,162/198,Squawkabilly,Common
162,163/198,Cyclizar,Uncommon
163,164/198,Cyclizar,Rare
164,165/198,Flamigo,Uncommon
165,166/198,Arven,Uncommon
166,167/198,Beach Court,Uncommon
167,168/198,Crushing Hammer,Common
168,169/198,Defiance Band,Uncommon
169,170/198,Electric Generator,Uncommon
170,171/198,Energy Retrieval,Common
171,172/198,Energy Search,Common
172,173/198,Energy Switch,Common
173,174/198,Exp. Share,Uncommon
174,175/198,Jacq,Uncommon
175,176/198,Judge,Uncommon
176,177/198,Katy,Uncommon
177,178/198,Mesagoza,Uncommon
178,179/198,Miriam,Uncommon
179,180/198,Nemona,Common
180,181/198,Nest Ball,Uncommon
181,182/198,Pal Pad,Common
182,183/198,Penny,Uncommon
183,184/198,Picnic Basket,Uncommon
184,185/198,Poké Ball,Common
185,186/198,Pokégear 3.0,Common
186,187/198,Pokémon Catcher,Common
187,188/198,Potion,Common
188,189/198,Professor's Research [Professor Sada],Rare
189,190/198,Professor's Research [Professor Turo],Rare
190,191/198,Rare Candy,Common
191,192/198,Rock Chestplate,Uncommon
192,193/198,Rocky Helmet,Uncommon
193,194/198,Switch,Common
194,195/198,Team Star Grunt,Uncommon
195,196/198,Ultra Ball,Uncommon
196,197/198,Vitality Band,Uncommon
197,198/198,Youngster,Uncommon
198,199/198,Tarountula,Illustration Rare
199,200/198,Dolliv,Illustration Rare
200,201/198,Toedscool,Illustration Rare
201,202/198,Scovillain,Illustration Rare
202,203/198,Armarouge,Illustration Rare
203,204/198,Slowpoke,Illustration Rare
204,205/198,Clauncher,Illustration Rare
205,206/198,Wiglett,Illustration Rare
206,207/198,Dondozo,Illustration Rare
207,208/198,Pachirisu,Illustration Rare
208,209/198,Pawmot,Illustration Rare
209,210/198,Drowzee,Illustration Rare
210,211/198,Ralts,Illustration Rare
211,212/198,Kirlia,Illustration Rare
212,213/198,Fidough,Illustration Rare
213,214/198,Greavard,Illustration Rare
214,215/198,Riolu,Illustration Rare
215,216/198,Sandile,Illustration Rare
216,217/198,Klawf,Illustration Rare
217,218/198,Mabosstiff,Illustration Rare
218,219/198,Bombirdier,Illustration Rare
219,220/198,Kingambit,Illustration Rare
220,221/198,Starly,Illustration Rare
221,222/198,Skwovet,Illustration Rare
222,223/198,Spidops ex,Ultra Rare
223,224/198,Arcanine ex,Ultra Rare
224,225/198,Gyarados ex,Ultra Rare
225,226/198,Magnezone ex,Ultra Rare
226,227/198,Miraidon ex,Ultra Rare
227,228/198,Gardevoir ex,Ultra Rare
228,229/198,Banette ex,Ultra Rare
229,230/198,Great Tusk ex,Ultra Rare
230,231/198,Koraidon ex,Ultra Rare
231,232/198,Toxicroak ex,Ultra Rare
232,233/198,Iron Treads ex,Ultra Rare
233,234/198,Oinkologne ex,Ultra Rare
234,235/198,Arven,Ultra Rare
235,236/198,Jacq,Ultra Rare
236,237/198,Katy,Ultra Rare
237,238/198,Miriam,Ultra Rare
238,239/198,Penny,Ultra Rare
239,240/198,Professor's Research [Professor Sada],Ultra Rare
240,241/198,Professor's Research [Professor Turo],Ultra Rare
241,242/198,Team Star Grunt,Ultra Rare
242,243/198,Spidops ex,Special Illustration Rare
243,244/198,Miraidon ex,Special Illustration Rare
244,245/198,Gardevoir ex,Special Illustration Rare
245,246/198,Great Tusk ex,Special Illustration Rare
246,247/198,Koraidon ex,Special Illustration Rare
247,248/198,Iron Treads ex,Special Illustration Rare
248,249/198,Arven,Special Illustration Rare
249,250/198,Jacq,Special Illustration Rare
250,251/198,Miriam,Special Illustration Rare
251,252/198,Penny,Special Illustration Rare
252,253/198,Miraidon ex,Hyper Rare
253,254/198,Koraidon ex,Hyper Rare
254,255/198,Nest Ball,Hyper Rare
255,256/198,Rare Candy,Hyper Rare
256,257/198,Basic Lightning Energy,Hyper Rare
257,258/198,Basic Fighting Energy,Hyper Rare
