No.,Card name,Rarity
99,Dachsbun,Uncommon
100,Flittle,Common
101,Flittle,Common
102,Flittle,Common
103,Espathra,Uncommon
104,Greavard,Common
105,Greavard,Common
106,Houndstone,Rare
107,Mankey,Common
108,Primeape,Common
109,Annihilape,Rare
110,Meditite,Common
111,Medicham,Uncommon
112,Riolu,Common
113,Riolu,Common
114,Lucario,Uncommon
115,Sandile,Common
116,Krokorok,Common
117,Krookodile,Uncommon
118,Hawlucha,Rare
119,Silicobra,Common
120,Sandaconda,Uncommon
121,Stonjourner,Uncommon
122,Klawf,Rare
123,Great Tusk ex,Double Rare
124,Koraidon,Rare
125,Koraidon ex,Double Rare
126,Grimer,Common
127,Muk,Uncommon
128,Seviper,Common
129,Spiritomb,Uncommon
130,Croagunk,Common
131,Toxicroak ex,Double Rare
132,Pawniard,Common
133,Bisharp,Common
134,Kingambit,Rare
135,Maschiff,Common
136,Maschiff,Common
137,Mabosstiff,Uncommon
138,Bombirdier,Uncommon
139,Forretress,Uncommon
140,Varoom,Common
141,Varoom,Common
142,Revavroom,Rare
143,Iron Treads ex,Double Rare
144,Chansey,Common
145,Blissey,Uncommon
146,Zangoose,Common
147,Zangoose,Uncommon
148,Starly,Common
149,Staravia,Common
150,Staraptor,Uncommon
151,Skwovet,Common
152,Greedent,Uncommon
153,Indeedee,Rare
154,Lechonk,Common
155,Lechonk,Common
156,Lechonk,Common
157,Oinkologne,Uncommon
158,Oinkologne ex,Double Rare
159,Tandemaus,Common
160,Tandemaus,Common
161,Maushold,Uncommon
162,Squawkabilly,Common
163,Cyclizar,Uncommon
164,Cyclizar,Rare
165,Flamigo,Uncommon
166,Arven,Uncommon
167,Beach Court,Uncommon
168,Crushing Hammer,Common
169,Defiance Band,Uncommon
170,Electric Generator,Uncommon
171,Energy Retrieval,Common
172,Energy Search,Common
173,Energy Switch,Common
174,Exp. Share,Uncommon
175,Jacq,Uncommon
176,Judge,Uncommon
177,Katy,Uncommon
178,Mesagoza,Uncommon
179,Miriam,Uncommon
180,Nemona,Common
181,Nest Ball,Uncommon
182,Pal Pad,Common
183,Penny,Uncommon
184,Picnic Basket,Uncommon
185,Poké Ball,Common
186,Pokégear 3.0,Common
187,Pokémon Catcher,Common
188,Potion,Common
189,Professor's Research [Professor Sada],Rare
190,Professor's Research [Professor Turo],Rare
191,Rare Candy,Common
192,Rock Chestplate,Uncommon
193,Rocky Helmet,Uncommon
194,Switch,Common
195,Team Star Grunt,Uncommon
196,Ultra Ball,Uncommon
197,Vitality Band,Uncommon
198,Youngster,Uncommon
199,Tarountula,Illustration Rare
200,Dolliv,Illustration Rare
201,Toedscool,Illustration Rare
202,Scovillain,Illustration Rare
203,Armarouge,Illustration Rare
204,Slowpoke,Illustration Rare
205,Clauncher,Illustration Rare
206,Wiglett,Illustration Rare
207,Dondozo,Illustration Rare
208,Pachirisu,Illustration Rare
209,Pawmot,Illustration Rare
210,Drowzee,Illustration Rare
211,Ralts,Illustration Rare
212,Kirlia,Illustration Rare
213,Fidough,Illustration Rare
214,Greavard,Illustration Rare
215,Riolu,Illustration Rare
216,Sandile,Illustration Rare
217,Klawf,Illustration Rare
218,Mabosstiff,Illustration Rare
219,Bombirdier,Illustration Rare
220,Kingambit,Illustration Rare
221,Starly,Illustration Rare
222,Skwovet,Illustration Rare
223,Spidops ex,Ultra Rare
224,Arcanine ex,Ultra Rare
225,Gyarados ex,Ultra Rare
226,Magnezone ex,Ultra Rare
227,Miraidon ex,Ultra Rare
228,Gardevoir ex,Ultra Rare
229,Banette ex,Ultra Rare
230,Great Tusk ex,Ultra Rare
231,Koraidon ex,Ultra Rare
232,Toxicroak ex,Ultra Rare
233,Iron Treads ex,Ultra Rare
234,Oinkologne ex,Ultra Rare
235,Arven,Ultra Rare
236,Jacq,Ultra Rare
237,Katy,Ultra Rare
238,Miriam,Ultra Rare
239,Penny,Ultra Rare
240,Professor's Research [Professor Sada],Ultra Rare
241,Professor's Research [Professor Turo],Ultra Rare
242,Team Star Grunt,Ultra Rare
243,Spidops ex,Special Illustration Rare
244,Miraidon ex,Special Illustration Rare
245,Gardevoir ex,Special Illustration Rare
246,Great Tusk ex,Special Illustration Rare
247,Koraidon ex,Special Illustration Rare
248,Iron Treads ex,Special Illustration Rare
249,Arven,Special Illustration Rare
250,Jacq,Special Illustration Rare
251,Miriam,Special Illustration Rare
252,Penny,Special Illustration Rare
253,Miraidon ex,Hyper Rare
254,Koraidon ex,Hyper Rare
255,Nest Ball,Hyper Rare
256,Rare Candy,Hyper Rare
257,Basic Lightning Energy,Hyper Rare
258,Basic Fighting Energy,Hyper Rare
