No.,Card name,Rarity
242,Annihilape ex,Ultra Rare
243,Ting-Lu ex,Ultra Rare
244,Paldean Clodsire ex,Ultra Rare
245,Copperajah ex,Ultra Rare
246,Noivern ex,Ultra Rare
247,Squawkabilly ex,Ultra Rare
248,Boss's Orders [Ghetsis],Ultra Rare
249,Clavell,Ultra Rare
250,Dendra,Ultra Rare
251,Falkner,Ultra Rare
252,Giacomo,Ultra Rare
253,Grusha,Ultra Rare
254,Iono,Ultra Rare
255,Saguaro,Ultra Rare
256,Meowscarada ex,Special Illustration Rare
257,Wo-Chien ex,Special Illustration Rare
258,Skeledirge ex,Special Illustration Rare
259,Chi-Yu ex,Special Illustration Rare
260,Quaquaval ex,Special Illustration Rare
261,Chien-Pao ex,Special Illustration Rare
262,Tinkaton ex,Special Illustration Rare
263,Ting-Lu ex,Special Illustration Rare
264,Squawkabilly ex,Special Illustration Rare
265,Boss's Orders [Ghetsis],Special Illustration Rare
266,Dendra,Special Illustration Rare
267,Giacomo,Special Illustration Rare
268,Grusha,Special Illustration Rare
269,Iono,Special Illustration Rare
270,Saguaro,Special Illustration Rare
271,Meowscarada ex,Hyper Rare
272,Skeledirge ex,Hyper Rare
273,Quaquaval ex,Hyper Rare
274,Chien-Pao ex,Hyper Rare
275,Ting-Lu ex,Hyper Rare
276,Super Rod,Hyper Rare
277,Superior Energy Retrieval,Hyper Rare
278,Basic Grass Energy,Hyper Rare
279,Basic Water Energy,Hyper Rare
