No.,Card name,Rarity
197,Bianca's Devotion,Ultra Rare
198,Ciphermaniac's Codebreaking,Ultra Rare
199,Eri,Ultra Rare
200,Explorer's Guidance,Ultra Rare
201,Morty's Conviction,Ultra Rare
202,Salvatore,Ultra Rare
203,Iron Leaves ex,Special Illustration Rare
204,Gouging Fire ex,Special Illustration Rare
205,Walking Wake ex,Special Illustration Rare
206,Iron Crown ex,Special Illustration Rare
207,Iron Boulder ex,Special Illustration Rare
208,Raging Bolt ex,Special Illustration Rare
209,Bianca's Devotion,Special Illustration Rare
210,Eri,Special Illustration Rare
211,Morty's Conviction,Special Illustration Rare
212,Salvatore,Special Illustration Rare
213,Iron Leaves ex,Hyper Rare
214,Gouging Fire ex,Hyper Rare
215,Walking Wake ex,Hyper Rare
216,Iron Crown ex,Hyper Rare
217,Iron Boulder ex,Hyper Rare
218,Raging Bolt ex,Hyper Rare
