No.,Card name,Rarity
100,Snover,Shiny Rare
101,Abomasnow,Shiny Rare
102,Smoliv,Shiny Rare
103,Dolliv,Shiny Rare
104,Arboliva,Shiny Rare
105,Toedscool,Shiny Rare
106,Capsakid,Shiny Rare
107,Scovillain,Shiny Rare
108,Rellor,Shiny Rare
109,Charmander,Shiny Rare
110,Charmeleon,Shiny Rare
111,Paldean Tauros,Shiny Rare
112,Entei,Shiny Rare
113,Oricorio,Shiny Rare
114,Charcadet,Shiny Rare
115,Armarouge,Shiny Rare
116,Slowpoke,Shiny Rare
117,Slowbro,Shiny Rare
118,Staryu,Shiny Rare
119,Starmie,Shiny Rare
120,Paldean Tauros,Shiny Rare
121,Wiglett,Shiny Rare
122,Wugtrio,Shiny Rare
123,Finizen,Shiny Rare
124,Palafin,Shiny Rare
125,Veluza,Shiny Rare
126,Dondozo,Shiny Rare
127,Tatsugiri,Shiny Rare
128,Frigibax,Shiny Rare
129,Arctibax,Shiny Rare
130,Baxcalibur,Shiny Rare
131,Pikachu,Shiny Rare
132,Raichu,Shiny Rare
133,Voltorb,Shiny Rare
134,Electrode,Shiny Rare
135,Shinx,Shiny Rare
136,Luxio,Shiny Rare
137,Luxray,Shiny Rare
138,Pachirisu,Shiny Rare
139,Thundurus,Shiny Rare
140,Toxel,Shiny Rare
141,Toxtricity,Shiny Rare
142,Pawmi,Shiny Rare
143,Pawmo,Shiny Rare
144,Pawmot,Shiny Rare
145,Wattrel,Shiny Rare
146,Kilowattrel,Shiny Rare
147,Wigglytuff,Shiny Rare
148,Abra,Shiny Rare
149,Kadabra,Shiny Rare
150,Cleffa,Shiny Rare
151,Natu,Shiny Rare
152,Xatu,Shiny Rare
153,Ralts,Shiny Rare
154,Kirlia,Shiny Rare
155,Drifloon,Shiny Rare
156,Drifblim,Shiny Rare
157,Mime Jr.,Shiny Rare
158,Spiritomb,Shiny Rare
159,Klefki,Shiny Rare
160,Mimikyu,Shiny Rare
161,Dachsbun,Shiny Rare
162,Ceruledge,Shiny Rare
163,Rabsca,Shiny Rare
164,Flittle,Shiny Rare
165,Tinkatink,Shiny Rare
166,Tinkatuff,Shiny Rare
167,Tinkaton,Shiny Rare
168,Houndstone,Shiny Rare
169,Mankey,Shiny Rare
170,Primeape,Shiny Rare
171,Annihilape,Shiny Rare
172,Paldean Tauros,Shiny Rare
173,Riolu,Shiny Rare
174,Lucario,Shiny Rare
175,Hawlucha,Shiny Rare
176,Nacli,Shiny Rare
177,Naclstack,Shiny Rare
178,Garganacl,Shiny Rare
179,Glimmet,Shiny Rare
180,Paldean Wooper,Shiny Rare
181,Murkrow,Shiny Rare
182,Sneasel,Shiny Rare
183,Weavile,Shiny Rare
184,Sableye,Shiny Rare
185,Pawniard,Shiny Rare
186,Bisharp,Shiny Rare
187,Kingambit,Shiny Rare
188,Mabosstiff,Shiny Rare
189,Shroodle,Shiny Rare
190,Grafaiai,Shiny Rare
191,Scizor,Shiny Rare
192,Varoom,Shiny Rare
193,Revavroom,Shiny Rare
194,Noibat,Shiny Rare
195,Cyclizar,Shiny Rare
196,Pidgey,Shiny Rare
197,Pidgeotto,Shiny Rare
198,Jigglypuff,Shiny Rare
199,Doduo,Shiny Rare
200,Dodrio,Shiny Rare
201,Ditto,Shiny Rare
202,Snorlax,Shiny Rare
203,Wingull,Shiny Rare
204,Pelipper,Shiny Rare
205,Skwovet,Shiny Rare
206,Greedent,Shiny Rare
207,Lechonk,Shiny Rare
208,Oinkologne,Shiny Rare
209,Tandemaus,Shiny Rare
210,Maushold,Shiny Rare
211,Flamigo,Shiny Rare
212,Forretress ex,Shiny Ultra Rare
213,Toedscruel ex,Shiny Ultra Rare
214,Espathra ex,Shiny Ultra Rare
215,Alakazam ex,Shiny Ultra Rare
216,Mew ex,Shiny Ultra Rare
217,Gardevoir ex,Shiny Ultra Rare
218,Glimmora ex,Shiny Ultra Rare
219,Paldean Clodsire ex,Shiny Ultra Rare
220,Noivern ex,Shiny Ultra Rare
221,Pidgeot ex,Shiny Ultra Rare
222,Wigglytuff ex,Shiny Ultra Rare
223,Squawkabilly ex,Shiny Ultra Rare
224,Wugtrio,Illustration Rare
225,Palafin,Illustration Rare
226,Pawmi,Illustration Rare
227,Clive,Ultra Rare
228,Judge,Ultra Rare
229,Nemona,Ultra Rare
230,Paldean Student,Ultra Rare
231,Paldean Student,Ultra Rare
232,Mew ex,Special Illustration Rare
233,Gardevoir ex,Special Illustration Rare
234,Charizard ex,Special Illustration Rare
235,Arven,Special Illustration Rare
236,Clive,Special Illustration Rare
237,Iono,Special Illustration Rare
238,Nemona,Special Illustration Rare
239,Penny,Special Illustration Rare
240,Wo-Chien ex,Hyper Rare
241,Chi-Yu ex,Hyper Rare
242,Chien-Pao ex,Hyper Rare
243,Miraidon ex,Hyper Rare
244,Ting-Lu ex,Hyper Rare
245,Koraidon ex,Hyper Rare
