,No.,Card name,Rarity
218,219/182,Garchomp ex,Ultra Rare
219,220/182,Tsareena ex,Ultra Rare
220,221/182,Golisopod ex,Ultra Rare
221,222/182,Tapu Koko ex,Ultra Rare
222,223/182,Iron Hands ex,Ultra Rare
223,224/182,Cofagrigus ex,Ultra Rare
224,225/182,Iron Valiant ex,Ultra Rare
225,226/182,Hoopa ex,Ultra Rare
226,227/182,Toxtricity ex,Ultra Rare
227,228/182,Sandy Shocks ex,Ultra Rare
228,229/182,Roaring Moon ex,Ultra Rare
229,230/182,Aegislash ex,Ultra Rare
230,231/182,Gholdengo ex,Ultra Rare
231,232/182,Altaria ex,Ultra Rare
232,233/182,Maushold ex,Ultra Rare
233,234/182,Bombirdier ex,Ultra Rare
234,235/182,Larry,Ultra Rare
235,236/182,Mela,Ultra Rare
236,237/182,Norman,Ultra Rare
237,238/182,Parasol Lady,Ultra Rare
238,239/182,Professor Sada's Vitality,Ultra Rare
239,240/182,Professor Turo's Scenario,Ultra Rare
240,241/182,Rika,Ultra Rare
241,242/182,Roark,Ultra Rare
242,243/182,Shauntal,Ultra Rare
243,244/182,Tulip,Ultra Rare
244,245/182,Garchomp ex,Special Illustration Rare
245,246/182,Golisopod ex,Special Illustration Rare
246,247/182,Tapu Koko ex,Special Illustration Rare
247,248/182,Iron Hands ex,Special Illustration Rare
248,249/182,Iron Valiant ex,Special Illustration Rare
249,250/182,Sandy Shocks ex,Special Illustration Rare
250,251/182,Roaring Moon ex,Special Illustration Rare
251,252/182,Gholdengo ex,Special Illustration Rare
252,253/182,Altaria ex,Special Illustration Rare
253,254/182,Mela,Special Illustration Rare
254,255/182,Parasol Lady,Special Illustration Rare
255,256/182,Professor Sada's Vitality,Special Illustration Rare
256,257/182,Professor Turo's Scenario,Special Illustration Rare
257,258/182,Rika,Special Illustration Rare
258,259/182,Tulip,Special Illustration Rare
259,260/182,Garchomp ex,Hyper Rare
260,261/182,Iron Valiant ex,Hyper Rare
261,262/182,Roaring Moon ex,Hyper Rare
262,263/182,Beach Court,Hyper Rare
263,264/182,Counter Catcher,Hyper Rare
264,265/182,Luxurious Cape,Hyper Rare
265,266/182,Reversal Energy,Hyper Rare
